nombre_equipo,nit,news_id,participacion,categoria,recomendacion
Goofy_Goobers,901576411,news11461,Sector,alianza,1
Goofy_Goobers,901576411,news79518,Sector,alianza,2
Goofy_Goobers,901576411,news96711,Sector,alianza,3
Goofy_Goobers,901576411,news79511,Sector,regulación,4
Goofy_Goobers,901576411,news98672,Sector,alianza,5
Goofy_Goobers,901576411,news94565,Sector,regulación,6
Goofy_Goobers,901576411,news63086,Sector,alianza,7
Goofy_Goobers,901576411,news31020,Sector,regulación,8
Goofy_Goobers,901576411,news98678,Sector,regulación,9
Goofy_Goobers,901576411,news96902,Sector,regulación,10
Goofy_Goobers,901576411,news98704,Sector,alianza,11
Goofy_Goobers,901576411,news98674,Sector,alianza,12
Goofy_Goobers,901576411,news98708,Sector,regulación,13
Goofy_Goobers,901576411,news79502,Sector,alianza,14
Goofy_Goobers,901576411,news62994,Sector,regulación,15
Goofy_Goobers,901576411,news98700,Sector,regulación,16
Goofy_Goobers,901576411,news98705,Sector,alianza,17
Goofy_Goobers,901576411,news95851,Sector,regulación,18
Goofy_Goobers,901576411,news16972,Sector,alianza,19
Goofy_Goobers,901576411,news79504,Sector,alianza,20
Goofy_Goobers,901576411,news96699,Sector,reputación,21
Goofy_Goobers,901576411,news29628,Sector,regulación,22
Goofy_Goobers,901576411,news49120,Sector,reputación,23
Goofy_Goobers,901576411,news96696,Sector,alianza,24
Goofy_Goobers,901576411,news52182,Sector,reputación,25
Goofy_Goobers,901576411,news79522,Sector,reputación,26
Goofy_Goobers,901576411,news96693,Sector,regulación,27
Goofy_Goobers,901576411,news98694,Sector,regulación,28
Goofy_Goobers,901576411,news79523,Sector,alianza,29
Goofy_Goobers,901576411,news96709,Sector,reputación,30
Goofy_Goobers,901576411,news98685,Sector,alianza,31
Goofy_Goobers,901576411,news98666,Sector,alianza,32
Goofy_Goobers,901576411,news55591,Sector,reputación,33
Goofy_Goobers,901576411,news96706,Sector,reputación,34
Goofy_Goobers,901576411,news96717,Sector,reputación,35
Goofy_Goobers,901576411,news96703,Sector,reputación,36
Goofy_Goobers,901576411,news76321,Sector,reputación,37
Goofy_Goobers,901576411,news96710,Sector,reputación,38
Goofy_Goobers,901576411,news98701,Sector,reputación,39
Goofy_Goobers,901576411,news98693,Sector,reputación,40
Goofy_Goobers,901576411,news98709,Sector,descartable,41
Goofy_Goobers,901570663,news95889,Sector,regulación,1
Goofy_Goobers,901570663,news95910,Sector,reputación,2
Goofy_Goobers,901570663,news98226,Sector,regulación,3
Goofy_Goobers,901570663,news98229,Sector,regulación,4
Goofy_Goobers,901570663,news98223,Sector,alianza,5
Goofy_Goobers,901570663,news95903,Sector,alianza,6
Goofy_Goobers,901570663,news95861,Sector,regulación,7
Goofy_Goobers,901570663,news18389,Sector,regulación,8
Goofy_Goobers,901570663,news95869,Cliente,reputación,9
Goofy_Goobers,901570663,news95899,Cliente,reputación,10
Goofy_Goobers,901570663,news95900,Cliente,alianza,11
Goofy_Goobers,901570663,news13694,Sector,alianza,12
Goofy_Goobers,901570663,news95151,Sector,regulación,13
Goofy_Goobers,901570663,news14869,Sector,regulación,14
Goofy_Goobers,901570663,news95858,Sector,reputación,15
Goofy_Goobers,901570663,news95851,Sector,regulación,16
Goofy_Goobers,901570663,news95865,Sector,alianza,17
Goofy_Goobers,901570663,news95854,Sector,regulación,18
Goofy_Goobers,901570663,news13721,Sector,alianza,19
Goofy_Goobers,901570663,news95895,Sector,regulación,20
Goofy_Goobers,901570663,news95879,Sector,regulación,21
Goofy_Goobers,901570663,news98236,Sector,reputación,22
Goofy_Goobers,901570663,news95875,Sector,descartable,23
Goofy_Goobers,901570663,news95863,Sector,descartable,24
